,BLU,Huawei,LG,Vodafone,Icemobile,Xiaomi,Motorola,Vertu,Yezz,iNQ,Mitac,O2,Casio,Neonode,Orange,Acer,Pantech,Cat,alcatel,Prestigio,verykool,Karbonn,Lenovo,OnePlus,Nvidia,Meizu,Jolla,Amazon,Coolpad,Dell,ZTE,HP,Nokia,Celkon,Kyocera,Microsoft,BenQ,VK Mobile,T-Mobile,Garmin-Asus,Asus,Wiko,Sonim,Sagem,Qtek,Intex,Panasonic,Palm,Google,QMobile,vivo,LeEco,Eten,NIU,Sharp,BlackBerry,YU,Gionee,Gigabyte,Archos,i-mate,Micromax,HTC,Samsung,Oppo,Yota,Apple,Allview,XOLO,Lava,Spice,Philips,BQ,NEC,Toshiba,Sony,Sony Ericsson,2G,3G,4G,CPU,Chipset,EDGE,GPRS,GPS,GPU,NFC,OS,Price,RAM,SIM,Thickness,audio_jack,battery,display_size,internal_memory,loud_speaker,memory_card,primary_camera,radio,screen_to_body_ratio,secondary_camera,weight_g
3889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,No,,,No,No,Yes,,,,99.9,0.015625,Single,0.71,No,1000.0,2.2,0.0234375,Yes,No,,No,29.9,,99
3890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,No,,,No,No,Yes,,,,111.00000000000001,,Single,0.70,No,1000.0,2.2,,Yes,Yes,1,No,16.6,,116
3891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,No,,,No,No,No,,,,144.3,0.125,Single,0.59,Yes,1500.0,2.6,0.25,Yes,Yes,1,No,37.6,,109
3892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,No,1.0 GHz Cortex-A8,Hummingbird,Yes,Yes,Yes,PowerVR SGX540,,Android 2.1,222.00000000000003,0.5,Single,0.55,Yes,1500.0,4.0,0.5,Yes,Yes,5,Yes,56.5,,155
3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,No,,,No,No,Yes,,,Android 2.1,188.70000000000002,,Single,0.59,No,1500.0,3.2,,Yes,Yes,3,No,45.3,,130
3894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,No,,,No,No,Yes,,,Android 2.1,166.50000000000003,,Single,0.59,Yes,1500.0,3.2,,Yes,Yes,3,No,46.1,,139
3895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,No,,,No,No,No,,,,99.9,,Single,0.59,No,1000.0,2.6,0.09765625,Yes,Yes,2,No,36.9,,108
3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,No,667 MHz,,No,No,Yes,,,Windows,133.20000000000002,,Single,0.43,No,1500.0,2.4,0.1201171875,Yes,Yes,2,No,25.4,,105
3897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,No,,,No,No,Yes,,,,122.10000000000001,,Single,0.59,No,1160.0,2.66,,Yes,Yes,2,No,35.3,,122
3898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,No,,,No,No,Yes,,,,122.10000000000001,,Single,0.51,No,1000.0,2.2,0.0537109375,Yes,Yes,1,No,22.3,,103
3899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,Yes,Yes,No,,,,111.00000000000001,,Single,0.59,No,1000.0,2.5,0.048828125,Yes,Yes,1,No,32.0,,112
3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,Yes,Yes,Yes,,,,166.50000000000003,,Single,0.60,Yes,1200.0,3.2,0.09765625,Yes,Yes,3,Yes,48.4,,118
3901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,Yes,Yes,Yes,,,,133.20000000000002,,Single,0.47,Yes,1200.0,3.2,0.09765625,Yes,Yes,3,Yes,48.4,,100
3902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,600 MHz,,Yes,Yes,Yes,,,Android 2.1,88.80000000000001,,Single,0.48,Yes,1200.0,2.8,0.166015625,Yes,Yes,2,Yes,40.1,,102
3903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,Samsung S5P6422 667 MHz,,Yes,Yes,Yes,,,Android 2.1,155.4,0.25,Single,0.50,Yes,1500.0,3.2,0.5,Yes,Yes,3,Yes,46.7,,113
3904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,Samsung S5P6422 667 MHz,,Yes,Yes,Yes,,,Android 2.1,155.4,0.25,Single,0.51,Yes,1500.0,3.2,0.5,Yes,Yes,3,Yes,46.7,,109
3905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,,,Yes,Yes,No,,,,166.50000000000003,,Dual,0.56,No,1200.0,3.2,0.263671875,Yes,Yes,5,Yes,46.3,,112
3906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,,,Yes,Yes,Yes,,,,111.00000000000001,,Single,0.87,No,1300.0,2.2,0.068359375,Yes,Yes,2,No,28.3,,100
3907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,Yes,Yes,No,,,,88.80000000000001,,Single,0.51,Yes,1000.0,2.4,0.029296875,Yes,Yes,1,Yes,34.4,,80
3908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,,,Yes,Yes,No,,,,244.20000000000002,,Single,0.55,No,1150.0,3.2,,Yes,Yes,3,No,47.5,,120.6
3909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,1.0 GHz Cortex-A8,Hummingbird,Yes,Yes,Yes,PowerVR SGX540,,Android 2.1,244.20000000000002,,Single,0.39,Yes,1500.0,4.0,16.0,Yes,Yes,5,Yes,58.0,,121
3910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,720 MHz Cortex-A8,TI OMAP 3430,Yes,Yes,Yes,PowerVR SGX530,,Android 2.1,111.00000000000001,0.375,Single,0.49,Yes,1500.0,3.7,1.0,Yes,Yes,5,No,54.5,,128
3911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,1.0 GHz Cortex-A8,Hummingbird,Yes,Yes,Yes,PowerVR SGX540,,Android 2.1,133.20000000000002,0.5,Single,0.39,Yes,1500.0,4.0,16.0,Yes,Yes,5,Yes,58.0,,119
3912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,800 MHz,,Yes,Yes,Yes,,,Android 2.1,344.1,,Single,0.52,Yes,1500.0,3.2,0.17578125,Yes,Yes,3,Yes,44.2,,126
3913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,,,Yes,Yes,No,,,,99.9,,Single,0.51,No,1000.0,2.6,0.048828125,Yes,Yes,1,Yes,39.5,,86
3914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,No,,,No,No,No,,,,88.80000000000001,,Single,,No,,2.0,,Yes,Yes,2,Yes,,,
3915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,No,No,No,,,,33.300000000000004,,Single,0.56,No,1000.0,1.52,0.015625,Yes,No,,No,14.9,,72
3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,No,,,No,No,No,,,,111.00000000000001,,Single,0.48,No,960.0,2.8,0.0771484375,Yes,Yes,2,Yes,41.7,,92
3917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,Yes,Yes,No,,,,111.00000000000001,,Single,0.47,No,960.0,2.8,0.048828125,Yes,Yes,2,Yes,41.7,,93.2
3918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,,,Yes,Yes,Yes,,,,77.7,,Single,0.90,No,1000.0,2.4,0.0810546875,No,Yes,2,No,34.1,,135
3919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,,,Yes,Yes,Yes,,,,111.00000000000001,,Single,0.57,No,1000.0,2.6,0.078125,Yes,Yes,2,No,33.6,,113.1
3920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,Yes,Yes,Yes,,,,133.20000000000002,,Single,0.51,No,1000.0,3.0,0.185546875,Yes,Yes,2,No,48.0,,87.3
3921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,1.0 GHz Cortex-A8,Hummingbird,Yes,Yes,Yes,PowerVR SGX540,,Bada,177.60000000000002,,Single,0.43,Yes,1500.0,3.3,0.380859375,Yes,Yes,5,Yes,46.9,,118
3922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,720 MHz,,Yes,Yes,Yes,,,Android 2.1,288.6,0.375,Single,0.59,Yes,1800.0,3.7,16.0,Yes,Yes,8,Yes,53.0,,156
3923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,Yes,Yes,No,,,,133.20000000000002,,Single,0.64,Yes,960.0,2.6,0.0439453125,Yes,Yes,2,Yes,39.1,,113.7
3924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,Yes,Yes,No,,,,133.20000000000002,,Single,0.49,Yes,960.0,2.8,0.048828125,Yes,Yes,2,Yes,40.9,,97
3925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,Yes,Yes,No,,,,111.00000000000001,,Single,0.75,No,2000.0,1.77,0.0390625,Yes,Yes,,Yes,18.0,,115
3926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,Yes,Yes,No,,,,88.80000000000001,,Single,0.56,No,800.0,2.0,0.0126953125,Yes,Yes,1,Yes,26.4,,87.7
3927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,Yes,Yes,No,,,,66.60000000000001,,Single,0.52,Yes,1000.0,2.0,0.0390625,Yes,Yes,2,Yes,23.6,,77.3
3928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,,,Yes,Yes,Yes,,,,111.00000000000001,,Single,0.49,Yes,1000.0,3.0,0.1953125,Yes,Yes,3,Yes,43.8,,92
3929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,,,Yes,Yes,No,,,,144.3,,Single,0.58,No,960.0,2.2,0.107421875,Yes,Yes,5,Yes,30.2,,99
3930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,Yes,Yes,No,,,,88.80000000000001,,Single,0.57,No,800.0,2.0,0.04296875,Yes,Yes,2,Yes,28.2,,79
3931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,No,,,No,No,No,,,,22.200000000000003,,Single,0.78,No,800.0,1.43,,Yes,No,,No,17.0,,72.5
